"","gameId","playId","x_receiver","x_motion","x_defender","y_receiver","y_motion","y_defender","nflId_receiver","nflId_motion","nflId_defender","teamAbbr_receiver","teamAbbr_motion","teamAbbr_defender"
"1",2022092600,1228,110.65,107.99,110.54,34.88,19.42,34.64,45052,52425,52518,"DAL","DAL","NYG"
"2",2022092600,3231,86.49,78.02,83.15,43.29,42.21,42.54,52425,47911,52518,"DAL","DAL","NYG"
"3",2022092513,131,69.47,87.56,68.81,11.98,9.17,13.46,52433,52625,53438,"SF","SF","DEN"
"4",2022092513,579,86.15,92.07,81.35,16.06,38.03,14.52,52433,40078,42393,"SF","SF","DEN"
"5",2022092513,1237,67.55,52.12,67.42,5.55,45.6,7.57,52433,46377,53438,"SF","SF","DEN"
"6",2022092513,1574,37.24,44.91,36.83,41,41.05,41.81,46109,46461,46757,"DEN","DEN","SF"
"7",2022092511,1713,49.06,30.6,51.84,9.78,47.38,10.47,53433,53612,47941,"ATL","ATL","SEA"
"8",2022092511,2008,7.96,12.2,10.48,32.43,40.1,33.13,47847,42412,52424,"SEA","SEA","ATL"
"9",2022092511,3584,80.54,68.79,83.98,40.7,17.35,40.62,47847,46096,52424,"SEA","SEA","ATL"
"10",2022092510,255,104.63,97.5,105.65,20.28,45.59,21.47,44881,41290,44848,"LA","LA","ARI"
"11",2022092510,572,56.77,61.13,67.44,37.02,15.21,34.59,43399,53486,44848,"LA","LA","ARI"
"12",2022092508,298,61.08,59.12,64.65,37.5,46.93,38.02,53439,53579,43373,"PHI","PHI","WAS"
"13",2022092508,1286,46.96,60.62,42.2,16,37.21,13.86,53439,47836,43373,"PHI","PHI","WAS"
"14",2022092508,2736,45,48.88,45.25,19.04,48,16.62,47834,45102,43373,"PHI","PHI","WAS"
"15",2022092508,3104,102.07,89.74,106.9,43.14,15.43,42.18,47859,52474,39984,"WAS","WAS","PHI"
"16",2022092508,3416,43.81,46.98,38.93,30.71,12.59,32.4,47859,43722,39984,"WAS","WAS","PHI"
"17",2022092506,776,84.93,66.7,87.2,9.36,47.02,9.86,53463,54475,44872,"NYJ","NYJ","CIN"
"18",2022092506,2156,69.89,64.49,68.88,37.03,9.78,35.42,54501,46279,52473,"NYJ","NYJ","CIN"
"19",2022092506,2496,53.17,31.11,52.96,12.68,47.17,13.55,53463,54475,44872,"NYJ","NYJ","CIN"
"20",2022092506,2733,51.97,37.01,52.38,41.49,42.57,38.63,44817,54501,46123,"NYJ","NYJ","CIN"
"21",2022092505,348,58.37,60.81,57.4,36.12,50.76,27.61,46155,52500,42116,"BAL","BAL","NE"
"22",2022092505,449,84.72,67.57,89.8,18.39,14.51,20.21,46155,47896,35466,"BAL","BAL","NE"
"23",2022092505,3069,52.91,41.72,53.67,32.66,51.7,29.07,53456,52500,35466,"BAL","BAL","NE"
"24",2022092505,3180,27.09,24.18,20.37,15.89,38.4,18.17,47870,44912,52506,"NE","NE","BAL"
"25",2022092505,3581,89.38,92.05,95.72,18.1,13.32,21.92,46155,54604,42116,"BAL","BAL","NE"
"26",2022092504,1299,111.6,111.43,111.96,18.75,3.47,20.55,47833,52584,46259,"MIN","MIN","DET"
"27",2022092503,56,49.13,26.74,51.16,36.24,30.75,36.63,42489,47879,43327,"BUF","BUF","MIA"
"28",2022092503,413,87.07,98.51,86.33,48.06,7.35,45.51,48233,46203,54650,"MIA","MIA","BUF"
"29",2022092503,1246,42.96,33.71,47.85,15.12,12.67,20.38,43454,48233,47964,"MIA","MIA","BUF"
"30",2022092503,1482,79.63,87.46,74.61,48.37,28.85,47.02,52536,53079,43327,"BUF","BUF","MIA"
"31",2022092503,1622,44.25,40.38,43.25,12.09,52.15,10.97,42489,42448,43327,"BUF","BUF","MIA"
"32",2022092503,1755,59.15,54.96,60.9,20.62,48.34,19.99,53435,46671,55240,"MIA","MIA","BUF"
"33",2022092503,3050,52.83,41.73,54.57,16.07,12.05,19.23,53435,46671,55240,"MIA","MIA","BUF"
"34",2022092503,3717,1.47,9.06,2.63,26.02,44.48,24.95,42489,42448,43327,"BUF","BUF","MIA"
"35",2022092502,266,78.57,85.91,77.83,34.73,11.35,37.15,46243,47839,47872,"KC","KC","IND"
"36",2022092502,570,110.72,104.26,103.55,13.39,15.22,15.15,52440,48683,47872,"KC","KC","IND"
"37",2022092502,783,33.94,40.4,34.72,36.93,40.74,35.01,40011,47839,47872,"KC","KC","IND"
"38",2022092502,1976,75.24,56.11,76.52,33.69,26.23,38.68,44874,41325,52619,"KC","KC","IND"
"39",2022092502,3323,12.16,23,13.28,38.36,35.94,38.88,40011,47839,47872,"KC","KC","IND"
"40",2022092511,330,67.1,75.24,68.44,28.8,5.33,27.44,53433,48723,42543,"ATL","ATL","SEA"
"41",2022092511,611,42.99,29.07,41.54,37.07,10.89,37.8,47847,46096,53611,"SEA","SEA","ATL"
"42",2022092506,1563,74.48,88.68,70.85,30.76,11.79,32.61,54475,46279,43299,"NYJ","NYJ","CIN"
"43",2022092506,2757,78.29,65.29,78.95,10.37,47.36,11.14,53463,44817,44872,"NYJ","NYJ","CIN"
