"","gameId","playId","x_defender","x_receiver","x_motion","y_defender","y_receiver","y_motion","nflId_defender","nflId_receiver","nflId_motion","teamAbbr_defender","teamAbbr_receiver","teamAbbr_motion"
"1",2022101700,3461,34.66,41.8,28.24,10.48,12.07,5.68,42929,45573,53506,"DEN","LAC","LAC"
"2",2022101609,1278,38.49,44.31,27.6,50.59,52.36,47.36,54618,47808,53478,"SEA","ARI","ARI"
"3",2022101608,401,70.69,73.73,70.82,16.84,17.6,34.18,46124,44881,43399,"CAR","LA","LA"
"4",2022101608,425,60.5,65.51,68.09,19,17.66,37.6,46124,44881,46830,"CAR","LA","LA"
"5",2022101608,1317,105.96,105.86,104.56,36.96,38.95,21.59,46124,41290,43399,"CAR","LA","LA"
"6",2022101607,973,57.78,58.54,64.5,24.65,33.34,36.43,46902,44896,46263,"PIT","TB","TB"
"7",2022101607,1058,94.88,89.4,88.07,29.13,33.81,9.02,46902,41233,44896,"PIT","TB","TB"
"8",2022101607,2987,86.08,90.05,74.28,40.05,34,20.76,46902,54556,47991,"PIT","TB","TB"
"9",2022101606,98,82.95,75.33,88.6,34.23,33.7,12.56,43323,46155,52463,"NYG","BAL","BAL"
"10",2022101606,995,86.96,87.46,70.11,31.8,29.71,15.35,54579,46155,45268,"NYG","BAL","BAL"
"11",2022101606,1527,39.08,43.09,38.75,28.37,29.04,48.67,43323,46155,45268,"NYG","BAL","BAL"
"12",2022101606,2300,82.65,85.57,81.74,16.57,16.86,42.79,54579,46155,54604,"NYG","BAL","BAL"
"13",2022101606,3449,71.84,67.96,85.17,43.68,36.74,30.69,54579,45268,43362,"NYG","BAL","BAL"
"14",2022101604,494,55.09,45.66,57.13,20.12,23.72,16.83,53554,53435,43454,"MIN","MIA","MIA"
"15",2022101604,549,82.23,77.92,70.22,31.91,25.54,8.53,42427,43454,42718,"MIN","MIA","MIA"
"16",2022101604,763,78.82,77.25,64.44,27.82,26.42,18.71,42388,54931,42718,"MIN","MIA","MIA"
"17",2022101604,1659,59.01,63.72,61.86,16.06,19.8,7.94,42427,46671,46111,"MIN","MIA","MIA"
"18",2022101604,1705,30.51,30.05,43.51,10.08,10.18,45.13,46652,43454,48233,"MIN","MIA","MIA"
"19",2022101604,1760,38.73,48.43,33.38,15.56,14.8,41.19,42427,42718,43454,"MIN","MIA","MIA"
"20",2022101604,2762,43.89,40.14,33.19,28.66,23.71,9.96,42427,43454,42718,"MIN","MIA","MIA"
"21",2022101604,3150,59.65,56.32,73.98,21.21,25.15,47.36,46652,43454,46671,"MIN","MIA","MIA"
"22",2022101604,3413,81.85,73.52,77.69,18.99,16.95,2.77,42388,43454,46671,"MIN","MIA","MIA"
"23",2022101604,3589,45.24,45.58,51.52,20.26,21.05,35.12,46652,53435,43454,"MIN","MIA","MIA"
"24",2022101604,3911,22.3,25,23.26,18.24,13.73,9.6,42427,46111,43454,"MIN","MIA","MIA"
"25",2022101602,620,57.17,55.23,50.86,36.47,35.51,42.94,46211,54597,46705,"NYJ","GB","GB"
"26",2022101602,842,49.78,50.58,44.62,15.03,14.94,0.42,41243,54597,46705,"NYJ","GB","GB"
"27",2022101602,1351,22.47,20.78,25.6,36.05,32.9,31.68,46087,54475,44817,"GB","NYJ","NYJ"
"28",2022101602,1632,65.3,63.96,84.46,20.16,20.82,9.98,46211,54597,53514,"NYJ","GB","GB"
"29",2022101602,1678,52.96,55.45,53.21,47.63,49.94,4.6,46186,45635,44995,"NYJ","GB","GB"
"30",2022101602,1857,76.36,73.39,62.01,35.34,33.49,19.53,46087,46279,53536,"GB","NYJ","NYJ"
"31",2022101602,2183,44.8,44.36,33.59,44.46,45.85,32.59,46087,54475,54501,"GB","NYJ","NYJ"
"32",2022101602,3003,71.12,66.2,66.03,37.5,29.31,40.98,46087,46226,54475,"GB","NYJ","NYJ"
"33",2022101601,1552,64.02,65.24,66.94,11.16,13.2,11.45,47829,42357,54515,"CLE","NE","NE"
"34",2022101601,2216,112.49,113.66,115.69,24.87,23.46,31.27,47829,54515,42357,"CLE","NE","NE"
"35",2022101600,849,60.43,62.16,75.11,42.21,41.24,12.56,52424,52433,46377,"ATL","SF","SF"
"36",2022101600,1215,20.61,21.7,22.45,34.59,35.78,12.15,52424,52433,52598,"ATL","SF","SF"
"37",2022101600,2601,65,74.4,70.41,16.69,17.22,48.08,53537,52433,42416,"ATL","SF","SF"
"38",2022101600,2667,82.46,81.56,72.04,41.25,40.95,13.59,53537,52433,46256,"ATL","SF","SF"
"39",2022101300,80,66.58,70.46,83.29,9.84,8.71,40.57,43373,52581,54668,"WAS","CHI","CHI"
"40",2022101300,342,69.49,63.2,61.53,10.44,13.74,42.36,52624,52451,46276,"WAS","CHI","CHI"
"41",2022101300,2314,81.45,84.84,88.54,14.84,16.39,10.99,43373,52581,48207,"WAS","CHI","CHI"
"42",2022101607,99,76.45,70.32,71.46,8.38,10.51,32.65,45395,44896,42033,"PIT","TB","TB"
"43",2022101607,678,17.97,17.97,22.37,19.02,16.03,42.31,43325,42033,44896,"PIT","TB","TB"
"44",2022101606,2379,115.07,114.04,106.44,23.12,25.92,5.55,47891,46155,53560,"NYG","BAL","BAL"
"45",2022101604,1917,77.2,74.72,81.74,22.03,20.36,33.11,42388,53435,43454,"MIN","MIA","MIA"
"46",2022101604,2714,37.02,41.04,20.99,35.81,38.15,16.84,52497,43454,53510,"MIN","MIA","MIA"
"47",2022101604,3502,49.77,52.94,50.45,35.85,38,30.16,53554,43454,46111,"MIN","MIA","MIA"
