"","gameId","playId","x_receiver","x_defender","x_motion","y_receiver","y_defender","y_motion","nflId_receiver","nflId_defender","nflId_motion","teamAbbr_receiver","teamAbbr_defender","teamAbbr_motion"
"1",2022103012,3528,47.66,52.42,60.72,41.2,40.52,9.42,42818,44911,44985,"BUF","GB","BUF"
"2",2022103010,264,31.88,31.39,59.86,19.94,17.14,28.81,46256,42816,46331,"SF","LA","SF"
"3",2022103010,879,89.26,80.92,82.17,15.63,19.25,42.23,44959,53532,44820,"SF","LA","SF"
"4",2022103010,1606,100.59,101.65,95.85,21.65,19.65,49.3,44820,53532,46256,"SF","LA","SF"
"5",2022103010,1876,55.08,49.14,58.56,15.86,16.76,42.05,44959,47844,46331,"SF","LA","SF"
"6",2022103009,2626,73.92,75.33,78.56,36.65,35.72,43.75,46362,46105,53687,"WAS","IND","WAS"
"7",2022103009,2812,100.79,99.02,109.25,37.92,38.78,16.59,52474,46105,44852,"WAS","IND","WAS"
"8",2022103007,426,15.97,16.49,22.66,31.04,20.86,45.96,53536,46212,46279,"NYJ","NE","NYJ"
"9",2022103007,581,58.86,58.67,57.31,28.48,26.75,19.18,48097,53583,45185,"NE","NYJ","NE"
"10",2022103007,1371,102.96,94.75,98.2,29.49,30.78,44.99,47870,41243,45185,"NE","NYJ","NE"
"11",2022103007,1485,63.97,63.54,67.1,23.49,26.09,20.89,44912,41243,48097,"NE","NYJ","NE"
"12",2022103007,1507,72.19,62.81,71.47,26.76,31.02,38.34,44912,41243,47870,"NE","NYJ","NE"
"13",2022103007,1552,47.21,50.42,53.5,30.57,29.02,4.69,43324,41243,45185,"NE","NYJ","NE"
"14",2022103007,1818,54.81,59.83,47.51,30.11,28.08,11.31,47969,46212,46279,"NYJ","NE","NYJ"
"15",2022103007,2450,48.37,49.38,39.09,37.45,34.51,8.19,48097,53583,47870,"NE","NYJ","NE"
"16",2022103007,3212,73.67,73.23,63.88,15.23,18.51,-0.79,46226,53617,54475,"NYJ","NE","NYJ"
"17",2022103007,3988,112.44,111.19,105.19,14.88,12.67,22.4,46226,53617,46279,"NYJ","NE","NYJ"
"18",2022103006,297,31.55,32.41,31.12,22.72,20.91,16.16,44931,53505,47932,"LV","NO","LV"
"19",2022103006,850,51.08,57.26,46.26,11.16,12.01,39.07,44931,53505,47932,"LV","NO","LV"
"20",2022103006,1698,52.06,53.32,37.97,13.56,13.33,10.47,54476,47817,43383,"NO","LV","NO"
"21",2022103006,2583,59.05,67.44,71.34,20.1,11.75,27.85,43383,47817,46160,"NO","LV","NO"
"22",2022103005,3801,63.21,71.47,67.18,13.89,14.83,7.61,39973,52525,43808,"ARI","MIN","ARI"
"23",2022103003,395,40.56,41.4,46.84,15.4,23.52,9.49,54938,54653,46111,"MIA","DET","MIA"
"24",2022103003,612,73.87,69.39,79.89,34.96,35.62,2.7,43454,47929,46111,"MIA","DET","MIA"
"25",2022103003,697,63.03,62.28,71.38,15.54,16.21,16.83,46111,52980,42718,"MIA","DET","MIA"
"26",2022103003,1217,68.47,70.12,61.39,17.89,12.97,34.19,43454,47929,53435,"MIA","DET","MIA"
"27",2022103003,2394,44.1,38.15,33.71,32.96,34.01,16.69,43454,47929,46671,"MIA","DET","MIA"
"28",2022103003,3014,10.65,8.93,23.82,21.87,28.66,3.88,46111,54562,42718,"MIA","DET","MIA"
"29",2022103002,1431,35.89,38.94,47.65,31.34,29.44,19.94,52425,45345,54553,"DAL","CHI","DAL"
"30",2022103002,2399,95.53,94.89,95.94,9.74,9.41,37.46,46150,52458,54553,"DAL","CHI","DAL"
"31",2022103002,2500,61.1,68.04,39.18,33.05,27.87,27.29,52581,52459,47904,"CHI","DAL","CHI"
"32",2022103002,2567,82.01,87.13,83.71,23.36,28.3,47.54,52581,52459,47815,"CHI","DAL","CHI"
"33",2022103001,983,81.35,87.47,85.7,38.27,34.53,42.88,53433,45004,52489,"ATL","CAR","ATL"
"34",2022102700,68,36.71,37.25,26.56,28.06,25.8,42.2,46155,43306,43362,"BAL","TB","BAL"
"35",2022102700,97,52.56,61.82,52.96,20.57,19.7,16.29,46155,43306,52609,"BAL","TB","BAL"
"36",2022102700,222,104.06,109.78,94.02,34.9,31.04,17.42,52609,47882,52500,"BAL","TB","BAL"
"37",2022102700,1126,90.15,86.72,94.16,26.91,25.3,43.59,46155,43306,43362,"BAL","TB","BAL"
"38",2022102700,1459,43.29,41.4,28.81,45.65,43.7,6.9,41233,44828,54683,"TB","BAL","TB"
"39",2022102700,1557,60.15,57.95,78.11,32.23,29.84,28.81,54604,43306,45268,"BAL","TB","BAL"
"40",2022102700,2870,0.96,1.99,13.38,31.27,25,51.22,54604,47877,45268,"BAL","TB","BAL"
"41",2022102700,3015,60.88,60.83,62.88,9.08,8.17,40.15,41233,44828,37079,"TB","BAL","TB"
"42",2022103010,2636,76.62,81.68,79.14,16.87,15.47,17.39,44820,43298,44959,"SF","LA","SF"
"43",2022103010,3021,115.48,110,103.19,33.64,37.96,5.98,44959,47844,52433,"SF","LA","SF"
"44",2022103007,2317,72.82,69.74,83.34,15.63,12.39,26.1,54475,43522,42500,"NYJ","NE","NYJ"
"45",2022103003,1732,72.69,75.98,54.84,23.4,20.63,13.8,43454,53957,46671,"MIA","DET","MIA"
"46",2022103003,1789,73.54,79.84,69.48,17.55,12.03,11.93,43454,47929,54938,"MIA","DET","MIA"
"47",2022103003,1876,78.71,77.91,70.73,10.3,21.1,45.84,43454,52475,46203,"MIA","DET","MIA"
"48",2022103003,2370,43.35,40.21,65.63,18.38,12.73,36.04,43454,47929,46192,"MIA","DET","MIA"
"49",2022103002,2791,19.56,15.97,37.32,30.19,29.32,10.76,52425,52458,53117,"DAL","CHI","DAL"
"50",2022102700,2480,17.65,13.92,20.13,32.06,30.4,15.82,43362,47788,45268,"BAL","TB","BAL"
